mainIndex,emotion,image1,text1,stimuli1,image2,text2,stimuli2,image3,text3,stimuli3,stim,neutralvideo,chooseCategoriesLoop.thisRepN,chooseCategoriesLoop.thisTrialN,chooseCategoriesLoop.thisN,chooseCategoriesLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,chooseCategoriesTrial.started,instructions.started,option1Text.started,option1Image.started,option2Text.started,option2Image.started,option3Text.started,option3Image.started,mouse.started,chooseCategoriesTrial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,baseline.started,movie.started,mouse_4.started,baseline.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,clicktoContinue.started,text_click_to_continue.started,mouse_5.started,clicktoContinue.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,countDown.started,Three.started,Two.started,Three.stopped,Two.stopped,One.started,One.stopped,countDown.stopped,playClip.started,stimclip.started,mouse_2.started,eeg_marker_stim_video.started,eeg_marker_stim_video.stopped,playClip.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,positiveNegative.started,agree.started,eeg_marker_rating.started,eeg_marker_rating.stopped,positiveNegative.stopped,agree.response,agree.rt,neutralVideo.started,eeg_marker_neutral_video.started,mouse_3.started,eeg_marker_neutral_video.stopped,neutralVideo.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,Ethnicity,Gender,Age,date,expName,psychopyVersion,frameRate,expStart,
0,1 excited,videos\1 excited\1 motorsports\motorsports.jpg,motorsports,videos\1 excited\1 motorsports\kenMiles.mp4,videos\1 excited\2 sports\sport.jpg,sports,videos\1 excited\2 sports\NBA.mp4,videos\1 excited\3 general\I am not sure.jpg,general,videos\1 excited\3 general\ratatChaseScene.mp4,,,0,0,0,0,,,,,0.20128339999973832,,0.1066012999999657,0.20128339999973832,0.20128339999973832,0.20128339999973832,0.20128339999973832,0.20128339999973832,0.20128339999973832,0.20128339999973832,0.20117480000044452,11.864800399998785,[-48.0],[-59.0],[1],[0],[0],[11.663048899999922],['option2Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145098,001,African American,Male,26,2024-04-15_12h32.04.177,emotionRecognition,2023.2.3,59.905134229311656,2024-04-15 12h37.46.100397 -0400,
3,4 relaxed,None,meditation,videos\4 relaxed\1 meditation\meditation.mp4,None,nature,videos\4 relaxed\2 nature\waterfall.mp4,None,general,videos\4 relaxed\3 general\asmr.mkv,,,0,1,1,1,,,,,11.878545100000338,,11.865965799999685,11.878545100000338,11.878545100000338,11.878545100000338,11.878545100000338,11.878545100000338,11.878545100000338,11.878545100000338,0.2130144000002474,16.95036379999874,[-7.0],[-13.0],[1],[0],[0],[4.871181799999249],['option2Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145098,001,African American,Male,26,2024-04-15_12h32.04.177,emotionRecognition,2023.2.3,59.905134229311656,2024-04-15 12h37.46.100397 -0400,
4,5 sad,videos\5 sad\1 animals\cutepets.jpg,animals,videos\5 sad\1 animals\saddogs.mp4,videos\5 sad\2 babies\baby.jpg,babies,videos\5 sad\2 babies\sadBaby1.mp4,videos\5 sad\3 general\notsure.jpg,general,videos\5 sad\3 general\ChampDeath.mp4,,,0,2,2,2,,,,,16.99886179999885,,16.951637799998934,16.99886179999885,16.99886179999885,16.99886179999885,16.99886179999885,16.99886179999885,16.99886179999885,16.99886179999885,0.21427440000115894,20.0193519000004,[-472.0],[-1.0],[1],[0],[0],[2.8531827999995585],['option1Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145098,001,African American,Male,26,2024-04-15_12h32.04.177,emotionRecognition,2023.2.3,59.905134229311656,2024-04-15 12h37.46.100397 -0400,
7,8 angry,videos\8 angry\1 animals\cutepets.jpg,animals,videos\8 angry\1 animals\angrydogs.mp4,videos\8 angry\2 general\notsure.jpg,general,videos\8 angry\2 general\thepiano.mp4,None,,None,,,0,3,3,3,,,,,20.071458799999164,,20.020377599999847,20.071458799999164,20.071458799999164,20.071458799999164,20.071458799999164,20.071458799999164,20.071458799999164,20.071458799999164,0.21448210000016843,22.63761499999964,[-690.0],[38.0],[1],[0],[0],[2.4025794999997743],['option1Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145098,001,African American,Male,26,2024-04-15_12h32.04.177,emotionRecognition,2023.2.3,59.905134229311656,2024-04-15 12h37.46.100397 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.638548199998695,22.657522299999982,1.01534139999967,63.11644840000008,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145098,001,African American,Male,26,2024-04-15_12h32.04.177,emotionRecognition,2023.2.3,59.905134229311656,2024-04-15 12h37.46.100397 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.22582440000042,63.228499400000146,5.129999954078812e-05,66.16895069999919,[-109.0],[-23.0],[1],[0],[0],[2.9427304999990156],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145098,001,African American,Male,26,2024-04-15_12h32.04.177,emotionRecognition,2023.2.3,59.905134229311656,2024-04-15 12h37.46.100397 -0400,
0,excited,,,,,,,,,,videos\1 excited\2 sports\NBA.mp4,neutral_videos\2BlowingLeafs (1).mp4,,,,,0,0,0,0,66.18490079999901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.899596199999,149.91322769999897,150.91397209999923,150.91397209999923,151.91468619999978,151.91468619999978,153.01677050000035,152.89955149999878,69.15459439999904,69.32323009999891,0.08545419999973092,0.08545419999973092,1.1523849999994127,139.37308159999884,[],[],[],[],[],[],139.4897826999986,139.51535329999933,0.011094900000898633,1.0164692000016657,149.8993733999996,5.0,10.387849600001573,152.89956749999874,0.07400439999946684,0.19921729999987292,1.100018099999943,214.96143709999888,[],[],[],[],[],[],145098,001,African American,Male,26,2024-04-15_12h32.04.177,emotionRecognition,2023.2.3,59.905134229311656,2024-04-15 12h37.46.100397 -0400,
1,happy,,,,,,,,,,videos\2 happy\scooby.mp4,neutral_videos\2BlowingLeafs (2).mp4,,,,,0,1,1,1,215.0816075999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.0148929999996,284.0283624999993,285.0291423999988,285.0291423999988,286.0299223000002,286.0299223000002,287.30009450000034,287.01433309999993,218.06377979999888,218.3655643000002,0.24365420000140148,0.24365420000140148,1.2853065000017523,278.49139509999986,[],[],[],[],[],[],278.5967824999989,278.6161914000004,0.008317899999383371,1.0118256999994628,284.01474039999994,4.0,5.396550299999944,287.01434340000014,0.24394530000063241,0.24394530000063241,1.2833723000003374,349.2937254999997,[],[],[],[],[],[],145098,001,African American,Male,26,2024-04-15_12h32.04.177,emotionRecognition,2023.2.3,59.905134229311656,2024-04-15 12h37.46.100397 -0400,
2,motivated,,,,,,,,,,videos\3 motivated\motivationalAuthor.mp4,neutral_videos\3BlowingLeafs.mp4,,,,,0,2,2,2,349.40128039999945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.1687086999991,425.18213409999953,426.1828955000001,426.1828955000001,427.1836855999991,427.1836855999991,428.4479793999999,428.1681110999998,352.3958789999997,352.69036119999873,0.25046910000128264,0.25046910000128264,1.281588699999702,420.6458086999992,[],[],[],[],[],[],420.75243169999885,420.77521650000017,0.00942880000002333,1.0104160999999294,425.1685594999999,5.0,4.394775500000833,428.168122699999,0.23627869999836548,0.23627869999836548,1.2665742999997747,490.43123149999883,[],[],[],[],[],[],145098,001,African American,Male,26,2024-04-15_12h32.04.177,emotionRecognition,2023.2.3,59.905134229311656,2024-04-15 12h37.46.100397 -0400,
3,relaxed,,,,,,,,,,videos\4 relaxed\2 nature\waterfall.mp4,neutral_videos\4BlowingLeafs.mp4,,,,,0,3,3,3,490.5476495999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.3345202,560.3480550999993,561.3488073999997,561.3488073999997,562.3495262999986,562.3495262999986,563.6347962999989,563.3341459999992,493.5363406999986,493.87432759999865,0.2601243999997678,0.2601243999997678,1.3219215000008262,554.2611192999993,[],[],[],[],[],[],554.3746001999989,554.3929090000001,0.007364200000665733,1.0031674000001658,560.3343633000004,4.0,5.93851259999974,563.3341588000003,0.2559852000013052,0.2559852000013052,1.2835555000001477,625.5798053999988,[],[],[],[],[],[],145098,001,African American,Male,26,2024-04-15_12h32.04.177,emotionRecognition,2023.2.3,59.905134229311656,2024-04-15 12h37.46.100397 -0400,
