mainIndex,emotion,image1,text1,stimuli1,image2,text2,stimuli2,image3,text3,stimuli3,stim,neutralvideo,chooseCategoriesLoop.thisRepN,chooseCategoriesLoop.thisTrialN,chooseCategoriesLoop.thisN,chooseCategoriesLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,chooseCategoriesTrial.started,instructions.started,option1Text.started,option1Image.started,option2Text.started,option2Image.started,option3Text.started,option3Image.started,mouse.started,chooseCategoriesTrial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,baseline.started,movie.started,mouse_4.started,baseline.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,clicktoContinue.started,text_click_to_continue.started,mouse_5.started,clicktoContinue.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,countDown.started,Three.started,Two.started,Three.stopped,Two.stopped,One.started,One.stopped,countDown.stopped,playClip.started,stimclip.started,mouse_2.started,eeg_marker_stim_video.started,eeg_marker_stim_video.stopped,playClip.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,positiveNegative.started,agree.started,eeg_marker_rating.started,eeg_marker_rating.stopped,positiveNegative.stopped,agree.response,agree.rt,neutralVideo.started,eeg_marker_neutral_video.started,mouse_3.started,eeg_marker_neutral_video.stopped,neutralVideo.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,Ethnicity,Gender,Age,date,expName,psychopyVersion,frameRate,expStart,
0,1 excited,videos\1 excited\1 motorsports\motorsports.jpg,motorsports,videos\1 excited\1 motorsports\kenMiles.mp4,videos\1 excited\2 sports\sport.jpg,sports,videos\1 excited\2 sports\NBA.mp4,videos\1 excited\3 general\I am not sure.jpg,general,videos\1 excited\3 general\ratatChaseScene.mp4,,,0,0,0,0,,,,,0.19425039999998717,,0.10888360000001285,0.19425039999998717,0.19425039999998717,0.19425039999998717,0.19425039999998717,0.19425039999998717,0.19425039999998717,0.19425039999998717,0.2041185000000496,17.75141389999999,[-533.0],[-65.0],[1],[0],[0],[17.54662959999996],['option1Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254362,001,,,,2024-04-10_10h09.17.056,emotionRecognition,2023.2.3,60.009241423169485,2024-04-10 10h09.25.288956 -0400,
3,4 relaxed,None,meditation,videos\4 relaxed\1 meditation\meditation.mp4,None,nature,videos\4 relaxed\2 nature\waterfall.mp4,None,general,videos\4 relaxed\3 general\asmr.mkv,,,0,1,1,1,,,,,17.766887399999973,,17.752713099999937,17.766887399999973,17.766887399999973,17.766887399999973,17.766887399999973,17.766887399999973,17.766887399999973,17.766887399999973,0.21465969999997014,28.793131300000027,[616.0],[-303.0],[1],[0],[0],[10.825549300000034],['option3Text'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254362,001,,,,2024-04-10_10h09.17.056,emotionRecognition,2023.2.3,60.009241423169485,2024-04-10 10h09.25.288956 -0400,
4,5 sad,videos\5 sad\1 animals\cutepets.jpg,animals,videos\5 sad\1 animals\saddogs.mp4,videos\5 sad\2 babies\baby.jpg,babies,videos\5 sad\2 babies\sadBaby1.mp4,videos\5 sad\3 general\notsure.jpg,general,videos\5 sad\3 general\ChampDeath.mp4,,,0,2,2,2,,,,,28.840485299999955,,28.79425189999995,28.840485299999955,28.840485299999955,28.840485299999955,28.840485299999955,28.840485299999955,28.840485299999955,28.840485299999955,0.21459970000000794,33.929864899999984,[-583.0],[-296.0],[1],[0],[0],[4.920813199999998],['option1Text'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254362,001,,,,2024-04-10_10h09.17.056,emotionRecognition,2023.2.3,60.009241423169485,2024-04-10 10h09.25.288956 -0400,
7,8 angry,videos\8 angry\1 animals\cutepets.jpg,animals,videos\8 angry\1 animals\angrydogs.mp4,videos\8 angry\2 general\notsure.jpg,general,videos\8 angry\2 general\thepiano.mp4,None,,None,,,0,3,3,3,,,,,33.98372840000002,,33.931093499999974,33.98372840000002,33.98372840000002,33.98372840000002,33.98372840000002,33.98372840000002,33.98372840000002,33.98372840000002,0.21487490000004072,37.53272860000004,[-575.0],[-295.0],[1],[0],[0],[3.3866563999999926],['option1Text'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254362,001,,,,2024-04-10_10h09.17.056,emotionRecognition,2023.2.3,60.009241423169485,2024-04-10 10h09.25.288956 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.53368720000003,37.581740999999965,1.0153186000000005,78.06176129999994,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254362,001,,,,2024-04-10_10h09.17.056,emotionRecognition,2023.2.3,60.009241423169485,2024-04-10 10h09.25.288956 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.17195019999997,78.1749704,8.239999999659631e-05,80.93080569999995,[141.0],[-180.0],[1],[0],[0],[2.75833949999992],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254362,001,,,,2024-04-10_10h09.17.056,emotionRecognition,2023.2.3,60.009241423169485,2024-04-10 10h09.25.288956 -0400,
0,excited,,,,,,,,,,videos\1 excited\1 motorsports\kenMiles.mp4,neutral_videos\2BlowingLeafs (1).mp4,,,,,0,0,0,0,80.94701369999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.39175579999994,160.40522529999998,161.4059744,161.4059744,162.4065475,162.4065475,163.50679289999994,163.39106809999998,83.9160551,84.08582949999993,0.09696069999995416,0.09696069999995416,1.1522277999999915,152.31627089999995,[],[],[],[],[],[],152.4261914,152.45464189999996,0.013074400000050446,1.0239379000000781,160.39153199999998,4.0,7.943976700000007,163.39108049999993,0.07131190000006882,0.19908640000005562,1.0997611000000234,225.4867097,[],[],[],[],[],[],254362,001,,,,2024-04-10_10h09.17.056,emotionRecognition,2023.2.3,60.009241423169485,2024-04-10 10h09.25.288956 -0400,
1,happy,,,,,,,,,,videos\2 happy\scooby.mp4,neutral_videos\2BlowingLeafs (2).mp4,,,,,0,1,1,1,225.60596859999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.2058951,293.21949169999994,294.22021229999996,294.22021229999996,295.2213938,295.2213938,296.47625170000003,296.205515,228.58905849999996,228.89448600000003,0.24749369999994997,0.24749369999994997,1.2869418000000223,288.9842781,[],[],[],[],[],[],289.09299250000004,289.1125031,0.0083498999999847,1.0075811000000385,293.20574020000004,3.0,4.09176750000006,296.20552669999995,0.22860159999993357,0.22860159999993357,1.2668487999999343,358.4345499000001,[],[],[],[],[],[],254362,001,,,,2024-04-10_10h09.17.056,emotionRecognition,2023.2.3,60.009241423169485,2024-04-10 10h09.25.288956 -0400,
2,motivated,,,,,,,,,,videos\3 motivated\motivationalAuthor.mp4,neutral_videos\3BlowingLeafs.mp4,,,,,0,2,2,2,358.54321690000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.72557729999994,433.7394469999999,434.7402726,434.7402726,435.7410196999999,435.7410196999999,437.0147122999999,436.7256087999999,361.5368653999999,361.8425652000001,0.2553488000000925,0.2553488000000925,1.2969683000001169,429.7870124000001,[],[],[],[],[],[],429.9041113999999,429.92669490000003,0.012151299999914045,1.0165635999999267,433.7254249,4.0,3.8003161000001455,436.7256212,0.24565949999987424,0.24565949999987424,1.2841072999999597,498.9045186999999,[],[],[],[],[],[],254362,001,,,,2024-04-10_10h09.17.056,emotionRecognition,2023.2.3,60.009241423169485,2024-04-10 10h09.25.288956 -0400,
3,relaxed,,,,,,,,,,videos\4 relaxed\3 general\asmr.mkv,neutral_videos\4BlowingLeafs.mp4,,,,,0,3,3,3,499.01456600000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.0916182000001,568.1051126,569.1058083999999,569.1058083999999,570.1065409999999,570.1065409999999,571.3672690000001,571.0911905,502.0069334,502.2900434999999,0.24831400000016401,0.24831400000016401,1.2621427999999923,562.5345576,[],[],[],[],[],[],562.6522617,562.6719131,0.007763900000099966,1.016067000000021,568.0913696,3.0,5.417514900000015,571.0912054,0.2341738999998597,0.2341738999998597,1.2670075999999426,633.2197897000001,[],[],[],[],[],[],254362,001,,,,2024-04-10_10h09.17.056,emotionRecognition,2023.2.3,60.009241423169485,2024-04-10 10h09.25.288956 -0400,
